input_node,neighbor_node,weight
20,1810,0.16666666666666666
20,1816,0.16666666666666666
20,1843,0.16666666666666666
21,1695,0.25
21,1698,0.25
21,1725,0.25
21,1830,0.25
22,1695,0.1
22,1722,0.1
22,1776,0.1
22,1778,0.3
22,1824,0.1
22,1855,0.3
23,1723,0.25
23,1732,0.25
23,1733,0.25
23,1797,0.25
24,1695,0.3333333333333333
24,1743,0.3333333333333333
24,1852,0.3333333333333333
25,1695,0.14285714285714285
25,1703,0.2857142857142857
25,1776,0.14285714285714285
25,1802,0.2857142857142857
25,1824,0.14285714285714285
26,1695,0.14285714285714285
26,1722,0.2857142857142857
26,1769,0.14285714285714285
26,1776,0.14285714285714285
26,1802,0.2857142857142857
27,1695,0.3333333333333333
27,1698,0.3333333333333333
27,1809,0.3333333333333333
28,1695,0.25
28,1718,0.25
28,1736,0.25
28,1796,0.25
29,1723,0.5
29,1732,0.5
30,1718,0.18181818181818182
30,1722,0.2727272727272727
30,1723,0.09090909090909091
30,1731,0.09090909090909091
30,1732,0.09090909090909091
30,1844,0.2727272727272727
31,1695,0.14285714285714285
31,1698,0.14285714285714285
31,1703,0.14285714285714285
31,1704,0.14285714285714285
31,1718,0.14285714285714285
31,1725,0.14285714285714285
31,1825,0.14285714285714285
32,1723,0.25
32,1732,0.25
32,1733,0.25
32,1844,0.25
33,1695,0.2
33,1727,0.2
33,1736,0.2
33,1818,0.4
34,1695,0.3333333333333333
34,1698,0.3333333333333333
34,1727,0.3333333333333333
35,1723,0.5
35,1732,0.5
36,1695,0.25
36,1698,0.25
36,1727,0.25
36,1796,0.25
37,1695,0.05
37,1697,0.2
37,1700,0.05
37,1703,0.2
37,1731,0.1
37,1736,0.05
37,1850,0.15
37,1854,0.2
38,1703,0.25
38,1723,0.25
38,1732,0.25
38,1854,0.25
39,1695,0.2
39,1698,0.2
39,1713,0.2
39,1727,0.2
39,1828,0.2
40,1695,0.25
40,1697,0.25
40,1736,0.25
40,1745,0.25
41,1695,0.02857142857142857
41,1697,0.02857142857142857
41,1716,0.2
41,1718,0.17142857142857143
41,1719,0.2
41,1730,0.08571428571428572
41,1743,0.02857142857142857
41,1795,0.08571428571428572
41,1818,0.17142857142857143
42,1695,0.1
42,1703,0.3
42,1730,0.2
42,1795,0.1
42,1824,0.3
43,1695,0.2
43,1716,0.2
43,1733,0.2
43,1743,0.2
43,1810,0.2
44,1695,0.25
44,1698,0.25
44,1727,0.25
44,1730,0.25
45,1723,0.2
45,1733,0.2
45,1802,0.4
45,1816,0.2
46,1695,0.2
46,1698,0.2
46,1700,0.2
46,1727,0.2
46,1730,0.2
47,1695,0.3333333333333333
47,1698,0.3333333333333333
47,1809,0.3333333333333333
48,1695,0.25
48,1700,0.25
48,1713,0.25
48,1725,0.25
49,1695,0.14285714285714285
49,1700,0.14285714285714285
49,1703,0.14285714285714285
49,1725,0.14285714285714285
49,1788,0.14285714285714285
49,1805,0.14285714285714285
49,1852,0.14285714285714285
50,1695,0.07142857142857142
50,1698,0.07142857142857142
50,1700,0.14285714285714285
50,1713,0.14285714285714285
50,1718,0.14285714285714285
50,1719,0.14285714285714285
50,1725,0.14285714285714285
50,1809,0.07142857142857142
50,1840,0.07142857142857142
51,1703,0.2
51,1718,0.2
51,1723,0.2
51,1732,0.2
51,1797,0.2
52,1718,0.3333333333333333
52,1723,0.3333333333333333
52,1732,0.3333333333333333
53,1695,0.2
53,1733,0.6
53,1743,0.2
54,1695,0.25
54,1698,0.25
54,1772,0.25
54,1809,0.25
55,1703,0.25
55,1723,0.25
55,1732,0.25
55,1797,0.25
56,1723,0.3333333333333333
56,1732,0.3333333333333333
56,1797,0.3333333333333333
57,1723,0.25
57,1732,0.25
57,1733,0.25
57,1816,0.25
58,1695,0.041666666666666664
58,1697,0.08333333333333333
58,1702,0.125
58,1713,0.041666666666666664
58,1719,0.08333333333333333
58,1725,0.125
58,1736,0.041666666666666664
58,1772,0.125
58,1804,0.125
58,1812,0.08333333333333333
58,1816,0.125
59,1695,0.2
59,1700,0.2
